epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,115.433,1.0384,0.98224,1.34518,0.84335,0.42857,0.51622,0.20093,2.48662,2.26524,2.83599,0.000248772,0.000248772,0.000248772
43,117.526,1.0351,1.03557,1.3727,0.69697,0.42857,0.53486,0.2146,2.50145,2.54061,2.81634,0.000236083,0.000236083,0.000236083
44,119.679,0.98452,0.98469,1.31882,0.66471,0.42857,0.50544,0.21728,2.34295,2.77513,2.64042,0.000223395,0.000223395,0.000223395
45,121.855,1.01382,0.95864,1.31971,0.74694,0.42857,0.51499,0.24065,2.22918,2.62664,2.55062,0.000210706,0.000210706,0.000210706
46,124.595,0.92948,0.8186,1.23203,0.84777,0.4541,0.5421,0.26979,2.18287,2.19845,2.4245,0.000198018,0.000198018,0.000198018
47,126.721,0.92502,0.83791,1.26572,0.86266,0.46775,0.52137,0.24461,2.1773,2.29555,2.42528,0.000185329,0.000185329,0.000185329
48,128.779,0.90812,0.81086,1.25315,0.72492,0.46627,0.52169,0.24009,2.10534,2.40322,2.56497,0.000172641,0.000172641,0.000172641
49,130.977,0.94323,0.87166,1.30457,0.84458,0.41819,0.50433,0.24628,2.13158,2.64114,2.6369,0.000159952,0.000159952,0.000159952
50,133.105,0.87742,0.74101,1.19648,0.77121,0.38095,0.51536,0.24622,2.08739,2.67534,2.66352,0.000147264,0.000147264,0.000147264
51,137.72,0.79738,0.70994,1.26832,0.77232,0.38095,0.52935,0.24275,2.10442,2.74091,2.72615,0.000134575,0.000134575,0.000134575
52,140.5,0.76244,0.71535,1.1521,0.85486,0.40796,0.59973,0.2538,2.17717,2.57403,2.85352,0.000121887,0.000121887,0.000121887
53,142.543,0.75364,0.69009,1.17511,0.51419,0.57966,0.62764,0.2588,2.23405,2.54388,2.92626,0.000109198,0.000109198,0.000109198
54,144.617,0.69998,0.67825,1.13502,0.68972,0.63947,0.66206,0.25529,2.27142,2.49999,2.9571,9.65095e-05,9.65095e-05,9.65095e-05
55,146.654,0.69205,0.6093,1.13907,0.64832,0.63767,0.65364,0.23875,2.323,2.52524,3.01571,8.3821e-05,8.3821e-05,8.3821e-05
56,149.43,0.72434,0.60975,1.15749,0.64362,0.64286,0.66314,0.23475,2.4124,2.4624,3.12523,7.11325e-05,7.11325e-05,7.11325e-05
57,151.639,0.7436,0.60846,1.15269,0.64071,0.64286,0.66628,0.22289,2.44646,2.4071,3.17211,5.8444e-05,5.8444e-05,5.8444e-05
58,153.76,0.72061,0.59508,1.15226,0.71894,0.6289,0.62832,0.24291,2.49667,2.34347,3.11357,4.57555e-05,4.57555e-05,4.57555e-05
59,155.783,0.69473,0.57332,1.1255,0.72141,0.62635,0.63751,0.24716,2.45486,2.27218,3.08436,3.3067e-05,3.3067e-05,3.3067e-05
60,157.87,0.68316,0.58523,1.1242,0.72397,0.62533,0.636,0.21428,2.40889,2.26311,3.0855,2.03785e-05,2.03785e-05,2.03785e-05
